	reviewText	overall
0	Ive been using Dreamweaver and its predecessor Macromedias UltraDev for many years For someone who is an experienced web designer this course is a high level review of the CS5	4.0
1	The demo is done with the PC version with references to the Mac version when needed The video is closed captioned You can set bookmarks There are self tests for	4.0
2	If youve been wanting to learn how to create your own website but have either lacked the confidence or knowledge this affordable combination book and video course will enable you	5.0
3	Ive been creating websites with Dreamweaver for years now and all that experience has taught me one thing Im a hack web designer Recently I have been trying to learn	5.0
4	I decided after trying a number of other products to switch to the gold standard of web site management Dreamweaver I bought a few books did some Lynda courses and	5.0
5	The video is well paced and delivered in an understandable manner It allows you to work with the software while watching and following the directions of instructor Candyce Mairs To	5.0
6	I spent several hours on the lesson and I love it It is very detailed and very clear The instructions with the graph and the audio and the video playback	5.0
7	I have had Dreamweaver MX2004 since it came out back then Spent years with it Feel like I know it real well but I am still familiar with tables as	5.0
8	I have also taken a local community college on line course on DreamWeaver CS5 training This video in comparison is quite a bit better in terms of the rich contents	5.0
9	Even though I use Dreamweaver a great deal and own several books on the subject I found this set very helpful Candyce Mairs takes you through everything from opening the	5.0
10	I waited to complete the entire course before writing this review and in no particular order these are my observations I should tell you that my web skills are limited	3.0
11	As someone who has just upgraded from Lightroom version 2 to the new version 3 I got this to bring me up to speed on the new features I thought	5.0
12	Adobe approved Adobe Photoshop Lightroom 3 Learn by Video is the absolutely best method of learning Lightroom 3 that Ive found Its one on one training presented by Tim Grey	5.0
13	This is a greate collection of videos on the disk Most of the videos are between 2 and 6 minutes The index allows you to quickly jump to a video	5.0
14	There are over 100 video lessons here Most users have given this a high rating and I assume they are very comfortable with video learning Personally I found it rather	3.0
15	I am not an avid Lightroom user although I have used it many times I have always wanted to dive into the tools and techniques of the software more and	5.0
16	I am a long time user of Photoshop Lightroom from the first version I used to use Photoshop to manage and edit digital images but switched to LR totally from	5.0
17	The Learn by Video program for Flash CS5 would make a nice alternative to an introductory book especially for visual learners Id worked through the nbsp a data hook product	4.0
18	The presenter here sounds much more natural than the semi robotic delivery found in the DreamWeaver tutorial product The lessons are broken up into easily digested 3 5 minute chunks	4.0
19	This certified associate courseware comes as a package containing a DVD ROM plus supplemental written material The software covered is Flash CS5 It is structured in an easy to follow	4.0
20	This was the first Learn by Video series course that Ive used and Im very impressed with the production For the most part Im impressed with the content too although	4.0
21	Excel Does not allow you to copy and paste sometimes I later found out its related to having many Excels open Clicking the lower edge of a cell will navigate	1.0
22	Microsoft Office is still the standard all the rest are compared to Office 365 is a great value when you consider the licensing options for standalone packages You might be	5.0
23	Been using Office for over twenty years Still not worth the money Buggy and easily corrupted Outlook is all messed up This is fourth year on 365 Thought I could	1.0
24	Always liked Office Products Expensive for a retiree but worth it for everything I do	5.0
25	I have been using MS Office professional for decades This latest version simply provides the top version in the most convenient automatically updated and economical format The annual subscription renews	5.0
26	This is really a great buy It breaks down to a full MS Office software suite for 5 computers plus 1TB of online storage The storage alone is worth the	5.0
27	The software is well known and excellent It provides at least ten times the capabilities I need The annual licenses are reasonable in cost since they amount to 20 per	5.0
28	The bottom line I like this deal much better than trying to buy an Office 365 license outright from Microsoft because its cheaper you get more and you have a	4.0
29	I have this running on my Macbook Air and two HP laptops Set up took less than 3 minutes It is a one year subscription which is totally fine with	5.0
30	not that easy to understand or install documentation should be better	4.0
32	We got this for 2 Macs and 2 Windows machines It works OK on both platforms I use it mostly on a Mac now I dont like that almost every	3.0
35	Complete rubbish I got this with an Acer aspire laptop and installed it There is no shortcut and double clicking the file does nothing All previous versions of Office have	1.0
36	As soon as the iPad Office 365 apps got released and I saw them in action I knew I wanted to upgrade my Office to Office 365 I was able	5.0
37	I Bought This So I Could Get Full Use Of The Office iPad Apps However I Also Did 2 Mac Installs 2 Windows Installs Was Completely Painless The KEY Code	5.0
38	The only real question is does this card work Its the lowest priced way to buy Office 365 so thats a reasonable question Its a 100 legit Microsoft issued card	5.0
39	When I try to install I receive error code 30088 04 Cant even find the error code Tried several times Have Windows 8 in a brand new HP computer Gave	1.0
40	Office 365 is less than 100 per year for 5 users We purchased this and our kids use it on their Macs while my wife and I use it on	5.0
41	I really thought this was one of those programs I could get a lot of use out of However I have used this program so very little that I cannot	4.0
42	I guess it all depends on your needs The software is great but this is essentially a rental program You buy again next year for 100 if you have need	4.0
43	The current trend for software companies is to provide software as a service SaaS where the user licenses an application for a finite amount of time There are pros and	3.0
44	Innovation is a good thing when the point of innovation is to improve ones products and to enhance the experience of ones customers But innovation as a way of creating	5.0
45	First let me say the updates that have occured in Office over the past few updates have been GREAT If you are thinking about updating your version of office this	4.0
46	I have to admit that one of my paranoid fears is that my computer will crash and that Ill lose all of my files and projects that Ive spent a	4.0
47	For most of us Microsoft Office is the de facto standard of office suites with Word being the predominant program It wasnt always this way as those who have been	4.0
48	We have several computers in my house and I was looking for an economical option Considering the fact that I probably go through a primary PC for work about once	5.0
49	Microsoft Office is pretty much the standard software used by most businesses and individuals This version contains Word for word processing Excel for spreadsheets PowerPoint for presentations OneNote to help	5.0
50	Im not sure why so many people are having problems downloading and installing Microsoft Office 365 As long as an account is setup before trying to downloading the product it	3.0
51	Its really hard to get any quantity of work down without Microsoft Office And this product aside from all its normal MS Office glory has a nifty Office Cloud you	4.0
52	I was looking forward to what Office 365 had over my now old Word 2010 but after several weeks of use I dont see anything really new or better I	3.0
53	This is the standard for office suites as far as I an many others are concerned This is a version that operates from the www It has all the core	5.0
54	Im the proud owner renter reviewer of this product Only Microsoft knows for sure They seem to have me down as an owner which considering that I have a not	4.0
55	Note to Mac users OneNote Access and Publisher not available I have two computers for work one is a desktop iMac that I use in my home office and the	5.0
56	The software rental business is growing but at least Microsoft still has standalone version unlike Adobe and their CC product There are added benefits by purchasing Office 365 Home Premium	3.0
57	Even though glo was the winner of the 2010 ECPA Bible of the Year award the software was a bit buggy and there were many complaints all of which have	5.0
58	a data hook product link linked class a link normal href GLO Premium Multi device dp 0982697813 ref cm cr arp d rvw txtie UTF8 GLO Premium Multi device a	4.0
59	I am not a Biblical scholar whatsoever not have I ever played one on TV I enjoy reading the Bible for its historical information and have found over the years	5.0
60	This is a Bible software like I never seen before It is so full of very useful material that I dont even know where to start so I will keep	5.0
61	GLO is a visually stunning bible program with so much to offer Gorgeous graphics a unique interface beautiful easy on the eyes bible pages and so much more its overwhelming	4.0
62	GLO Premium is a fantastic piece of software for everyone from the casual bible studyist to dedicated students and can also be a valuable resource for teachers and preachers The	5.0
63	Ive not had nearly enough to look at this all the way through It would probably take years But thus far I am very impressed The content is rich and	5.0
64	It took a little over an hour for me to do a full media install of Glo Premium on my ASUS Windows 7 laptop Glos features are listed in the	4.0
65	I got this installed on my computer and it was almost overwhelming how much data and information that is presented An attempt is made to segregate it but if you	5.0
66	I dont know anything about writing a will But doing it the traditional way cant be any easier than using WillMaker I wasnt looking for anything fancy or complicated I	4.0
67	I just couldnt get to grips with this software Its not bad but I just thought that in this case it would be easier just to eat the cost and	2.0
68	My husband I used this software in late 2010 early 2011 to update our wills a long overdue necessity Quicken Willmaker Plus is simple to use fairly easy for the	5.0
69	For me WillMaker served better as a guide than as a replacement for an attorney I admit it I drug my feet on completing my will I didnt realize just	4.0
70	A will is a must even if you dont have much of an estate If you die without a will your estate must go to probate and that will just	5.0
